Microsoft (R) Windows Script Host Version 5.812
Copyright (C) Microsoft Corporation. All rights reserved.

year 2022, quarter 1, ticker AAF, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker ZF, open 14, close 13, change -1, change% -7.14285714285714
year 2022, quarter 1, ticker ZFX, open 21, close 21, change 0, change% 0
year 2022, quarter 1, ticker ZGAU, open 83, close 87, change 4, change% 4.81927710843374
year 2022, quarter 1, ticker ZGE, open 14, close 17, change 3, change% 21.4285714285714
year 2022, quarter 1, ticker ZGM, open 12, close 10, change -2, change% -16.6666666666667
year 2022, quarter 1, ticker ZHG, open 34, close 36, change 2, change% 5.88235294117647
year 2022, quarter 1, ticker ZHW, open 26, close 26, change 0, change% 0
year 2022, quarter 1, ticker ZHYQ, open 22, close 22, change 0, change% 0
year 2022, quarter 1, ticker ZI, open 61, close 58, change -3, change% -4.91803278688525
year 2022, quarter 1, ticker ZIK, open 3, close 4, change 1, change% 33.3333333333333
year 2022, quarter 1, ticker ZJDD, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker ZKY, open 16, close 16, change 0, change% 0
year 2022, quarter 1, ticker ZLP, open 81, close 82, change 1, change% 1.23456790123457
year 2022, quarter 1, ticker ZLX, open 7, close 6, change -1, change% -14.2857142857143
year 2022, quarter 1, ticker ZM, open 172, close 160, change -12, change% -6.97674418604651
year 2022, quarter 1, ticker ZMFS, open 82, close 74, change -8, change% -9.75609756097561
year 2022, quarter 1, ticker ZMG, open 51, close 52, change 1, change% 1.96078431372549
year 2022, quarter 1, ticker ZMR, open 21, close 22, change 1, change% 4.76190476190476
year 2022, quarter 1, ticker ZNK, open 42, close 42, change 0, change% 0
year 2022, quarter 1, ticker ZNL, open 64, close 63, change -1, change% -1.5625
year 2022, quarter 1, ticker ZNR, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker ZOG, open 26, close 26, change 0, change% 0
year 2022, quarter 1, ticker ZPHK, open 21, close 23, change 2, change% 9.52380952380952
year 2022, quarter 1, ticker ZPJ, open 58, close 58, change 0, change% 0
year 2022, quarter 1, ticker ZPM, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker ZPZ, open 7, close 7, change 0, change% 0
year 2022, quarter 1, ticker ZQN, open 35, close 35, change 0, change% 0
year 2022, quarter 1, ticker ZQV, open 7, close 7, change 0, change% 0
year 2022, quarter 1, ticker ZRL, open 9, close 8, change -1, change% -11.1111111111111
year 2022, quarter 1, ticker ZRXB, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker ZSA, open 13, close 14, change 1, change% 7.69230769230769
year 2022, quarter 1, ticker ZTV, open 161, close 177, change 16, change% 9.93788819875776
year 2022, quarter 1, ticker ZUB, open 48, close 48, change 0, change% 0
year 2022, quarter 1, ticker ZUN, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker ZVAX, open 7, close 7, change 0, change% 0
year 2022, quarter 1, ticker ZVG, open 10, close 10, change 0, change% 0
year 2022, quarter 1, ticker ZVNV, open 44, close 44, change 0, change% 0
year 2022, quarter 1, ticker ZWE, open 11, close 10, change -1, change% -9.09090909090909
year 2022, quarter 1, ticker ZWG, open 198, close 190, change -8, change% -4.04040404040404
year 2022, quarter 1, ticker ZX, open 47, close 50, change 3, change% 6.38297872340426
year 2022, quarter 1, ticker ZXCE, open 191, close 194, change 3, change% 1.57068062827225
year 2022, quarter 1, ticker ZXD, open 21, close 21, change 0, change% 0
year 2022, quarter 1, ticker ZXG, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker ZY, open 231, close 222, change -9, change% -3.8961038961039
year 2022, quarter 1, ticker ZYO, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker ZYS, open 41, close 40, change -1, change% -2.4390243902439
year 2022, quarter 1, ticker ZZV, open 5, close 5, change 0, change% 0
Greatest Increase Ticker WKB, % 50
Greatest Decrease Ticker RKS, % -100
Greatest Volume Ticker VGK, Volume 5209827447

***** script completed - exit code: 0 *****
